"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 11:24:34 GMT 2024","Mon Mar 18 11:24:40 GMT 2024","6146","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
"passed","Mon Mar 18 11:24:26 GMT 2024","Mon Mar 18 11:24:34 GMT 2024","7941","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
"broken","Mon Mar 18 11:24:26 GMT 2024","Mon Mar 18 11:24:26 GMT 2024","0","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[webkit]",""
"broken","Mon Mar 18 11:24:25 GMT 2024","Mon Mar 18 11:24:25 GMT 2024","0","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[webkit]",""
