"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 12:31:54 GMT 2024","Mon Mar 18 12:32:03 GMT 2024","8390","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
"passed","Mon Mar 18 12:32:06 GMT 2024","Mon Mar 18 12:32:16 GMT 2024","10056","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[webkit]",""
"passed","Mon Mar 18 12:32:03 GMT 2024","Mon Mar 18 12:32:11 GMT 2024","7862","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
"passed","Mon Mar 18 12:31:55 GMT 2024","Mon Mar 18 12:32:06 GMT 2024","11239","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[webkit]",""
