"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 13:45:07 GMT 2024","Mon Mar 18 13:45:19 GMT 2024","12187","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[webkit]",""
"passed","Mon Mar 18 13:45:11 GMT 2024","Mon Mar 18 13:45:21 GMT 2024","10383","practice_pytest_playwright","test_hakuna_webkit","TestHakunaWebkit","","","test_hakuna_webkit[webkit]",""
"passed","Mon Mar 18 13:44:55 GMT 2024","Mon Mar 18 13:45:10 GMT 2024","15190","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[webkit]",""
"passed","Mon Mar 18 13:44:43 GMT 2024","Mon Mar 18 13:44:53 GMT 2024","10322","practice_pytest_playwright","test_hakuna_webkit","TestHakunaWebkit","","","test_hakuna_webkit[chromium]",""
"passed","Mon Mar 18 13:44:43 GMT 2024","Mon Mar 18 13:44:53 GMT 2024","9924","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
"passed","Mon Mar 18 13:44:54 GMT 2024","Mon Mar 18 13:45:05 GMT 2024","11011","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
