"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 12:45:21 GMT 2024","Mon Mar 18 12:45:32 GMT 2024","11059","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[webkit]",""
"passed","Mon Mar 18 12:45:29 GMT 2024","Mon Mar 18 12:45:37 GMT 2024","8567","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
"passed","Mon Mar 18 12:45:32 GMT 2024","Mon Mar 18 12:45:43 GMT 2024","11045","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[webkit]",""
"passed","Mon Mar 18 12:45:20 GMT 2024","Mon Mar 18 12:45:29 GMT 2024","8391","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
