"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 12:09:09 GMT 2024","Mon Mar 18 12:09:17 GMT 2024","8621","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
"passed","Mon Mar 18 12:09:14 GMT 2024","Mon Mar 18 12:09:24 GMT 2024","10341","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[webkit]",""
"passed","Mon Mar 18 12:08:59 GMT 2024","Mon Mar 18 12:09:08 GMT 2024","9112","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
"passed","Mon Mar 18 12:09:00 GMT 2024","Mon Mar 18 12:09:13 GMT 2024","13435","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[webkit]",""
