"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 14:01:40 GMT 2024","Mon Mar 18 14:01:50 GMT 2024","10632","practice_pytest_playwright","test_hakuna_webkit","TestHakunaWebkit","","","test_hakuna_webkit[webkit]",""
"passed","Mon Mar 18 14:01:13 GMT 2024","Mon Mar 18 14:01:23 GMT 2024","10359","practice_pytest_playwright","test_hakuna_webkit","TestHakunaWebkit","","","test_hakuna_webkit[chromium]",""
"passed","Mon Mar 18 14:01:13 GMT 2024","Mon Mar 18 14:01:22 GMT 2024","9188","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
"passed","Mon Mar 18 14:01:34 GMT 2024","Mon Mar 18 14:01:49 GMT 2024","14724","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[webkit]",""
"passed","Mon Mar 18 14:01:22 GMT 2024","Mon Mar 18 14:01:32 GMT 2024","9418","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
"passed","Mon Mar 18 14:01:25 GMT 2024","Mon Mar 18 14:01:38 GMT 2024","13579","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[webkit]",""
