"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 12:20:16 GMT 2024","Mon Mar 18 12:20:26 GMT 2024","10009","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing[chromium]",""
"passed","Mon Mar 18 12:20:16 GMT 2024","Mon Mar 18 12:20:26 GMT 2024","9740","practice_pytest_playwright","test_multi_browsing","TestMultiBrowsing","","","test_multi_browsing2[chromium]",""
